t,p
1736380803,0.815
1736467204,0.815
1736553604,0.805
1736640004,0.805
1736726404,0.805
1736812803,0.795
1736899203,0.795
1736985604,0.785
1737072004,0.755
1737158404,0.755
1737244804,0.755
1737331204,0.735
1737417603,0.745
1737504003,0.765
1737590404,0.745
1737676803,0.745
1737763205,0.745
1737849604,0.745
1737936004,0.755
1738022404,0.755
1738108804,0.755
1738195205,0.755
1738281604,0.755
1738368005,0.755
1738454404,0.77
1738540805,0.77
1738627204,0.77
1738713604,0.775
1738800005,0.775
1738886404,0.775
1738972804,0.785
1739059206,0.785
1739145605,0.79
1739232004,0.79
1739318404,0.795
1739404804,0.785
1739491205,0.785
1739577604,0.79
1739664004,0.785
1739750404,0.785
1739836804,0.785
1739923204,0.785
1740009604,0.785
1740096005,0.785
1740182405,0.785
1740268804,0.785
1740355204,0.785
1740441604,0.785
1740528005,0.775
1740614405,0.775
1740700805,0.775
1740787205,0.68
1740873605,0.7
1740960005,0.735
1741046405,0.67
1741132804,0.625
1741219205,0.67
1741305605,0.695
1741392005,0.67
1741478405,0.69
1741564804,0.635
1741651205,0.565
1741737605,0.605
1741824006,0.635
1741910405,0.595
1741996804,0.575
1742083204,0.59
1742169604,0.595
1742256005,0.6
1742342405,0.6
1742428805,0.665
1742515205,0.655
1742601606,0.66
1742688006,0.65
1742774405,0.645
1742860806,0.655
1742947205,0.665
1743033606,0.64
1743120006,0.625
1743206406,0.63
1743292806,0.625
1743379205,0.625
1743465605,0.615
1743552006,0.585
1743638405,0.51
1743724805,0.48
1743811205,0.405
1743897605,0.38
1743984006,0.345
1744070406,0.385
1744156806,0.385
1744243205,0.51
1744329605,0.38
1744416006,0.39
1744502405,0.56
1744588805,0.515
1744675205,0.49
1744761605,0.465
1744848006,0.455
1744934404,0.435
1745020806,0.435
1745107206,0.425
1745193606,0.44
1745280006,0.425
1745366407,0.465
1745452806,0.48
1745539206,0.465
1745625606,0.445
1745712005,0.46
1745798405,0.455
1745884805,0.425
1745971206,0.355
1746057606,0.365
1746144006,0.345
1746230406,0.375
1746316805,0.42
1746403205,0.425
1746489606,0.425
1746576005,0.47
1746662406,0.495
1746748807,0.485
1746835206,0.495
1746921606,0.485
1747008006,0.505
1747094406,0.605
1747180807,0.605
1747267207,0.605
1747353606,0.635
1747440007,0.635
1747526406,0.63
1747612806,0.63
1747699206,0.625
1747785606,0.605
1747872007,0.61
1747958407,0.605
1748044807,0.595
1748131206,0.615
1748217607,0.615
1748304006,0.615
1748390406,0.625
1748476807,0.615
1748563207,0.63
1748649607,0.67
1748736007,0.665
1748822406,0.675
1748908807,0.705
1748995206,0.715
1749081606,0.725
1749168006,0.705
1749254407,0.735
1749340807,0.735
1749427207,0.74
1749513606,0.745
1749600007,0.755
1749686407,0.775
1749772807,0.765
1749859208,0.735
1749945608,0.725
1750032007,0.695
1750118408,0.755
1750204808,0.715
1750291207,0.725
1750377608,0.725
1750464008,0.715
1750550406,0.715
1750636807,0.685
1750723207,0.73
1750809607,0.74
1750896008,0.735
1750982407,0.705
1751068807,0.7
1751155208,0.735
1751241607,0.735
1751328008,0.735
1751414407,0.76
1751500808,0.74
1751587208,0.785
1751673608,0.785
1751760007,0.775
1751846407,0.785
1751932808,0.775
1752019207,0.805
1752105608,0.805
1752192008,0.815
1752278409,0.805
1752364808,0.805
1752451207,0.8
1752537608,0.795
1752624008,0.785
1752710408,0.795
1752796808,0.805
1752883209,0.825
1752969608,0.825
1753056007,0.825
1753142409,0.825
1753228809,0.805
1753315209,0.815
1753401609,0.825
1753488009,0.825
1753574410,0.835
1753660809,0.83
1753747210,0.835
1753833610,0.835
1753920008,0.875
1754006409,0.885
1754092809,0.835
1754179208,0.855
1754265607,0.85
1754352008,0.855
1754438409,0.855
1754524808,0.855
1754611209,0.865
1754697608,0.875
1754784008,0.875
1754870405,0.875
1754956803,0.88
1755043213,0.88
1755129606,0.885
1755216011,0.885
1755302408,0.875
1755388804,0.875
1755475207,0.865
1755561613,0.87
1755648003,0.875
1755734406,0.875
1755820810,0.89
1755907216,0.9
1755993607,0.89
1756080006,0.885
1756166404,0.89
1756252814,0.895
1756339210,0.9
1756425609,0.895
1756512007,0.895
1756598411,0.91
1756684814,0.92
1756771216,0.92
1756857613,0.915
1756944011,0.915
1757030411,0.925
1757116816,0.925
1757203205,0.915
1757289608,0.92
1757333463,0.92
