t,p
1736380803,0.185
1736467204,0.185
1736553604,0.195
1736640004,0.195
1736726404,0.195
1736812803,0.205
1736899203,0.205
1736985604,0.215
1737072004,0.245
1737158404,0.245
1737244804,0.245
1737331204,0.265
1737417603,0.255
1737504003,0.235
1737590404,0.255
1737676803,0.255
1737763205,0.255
1737849604,0.255
1737936004,0.245
1738022404,0.245
1738108804,0.245
1738195205,0.245
1738281604,0.245
1738368005,0.245
1738454404,0.23
1738540805,0.23
1738627204,0.23
1738713604,0.225
1738800005,0.225
1738886404,0.225
1738972804,0.215
1739059206,0.215
1739145605,0.21
1739232004,0.21
1739318404,0.205
1739404804,0.215
1739491205,0.215
1739577604,0.21
1739664004,0.215
1739750404,0.215
1739836804,0.215
1739923204,0.215
1740009604,0.215
1740096005,0.215
1740182405,0.215
1740268804,0.215
1740355204,0.215
1740441604,0.215
1740528005,0.225
1740614405,0.225
1740700805,0.225
1740787205,0.32
1740873605,0.3
1740960005,0.265
1741046405,0.33
1741132804,0.375
1741219205,0.33
1741305605,0.305
1741392005,0.33
1741478405,0.31
1741564804,0.365
1741651205,0.435
1741737605,0.395
1741824006,0.365
1741910405,0.405
1741996804,0.425
1742083204,0.41
1742169604,0.405
1742256005,0.4
1742342405,0.4
1742428805,0.335
1742515205,0.345
1742601606,0.34
1742688006,0.35
1742774405,0.355
1742860806,0.345
1742947205,0.335
1743033606,0.36
1743120006,0.375
1743206406,0.37
1743292806,0.375
1743379205,0.375
1743465605,0.385
1743552006,0.415
1743638405,0.49
1743724805,0.52
1743811205,0.595
1743897605,0.62
1743984006,0.655
1744070406,0.615
1744156806,0.615
1744243205,0.49
1744329605,0.62
1744416006,0.61
1744502405,0.44
1744588805,0.485
1744675205,0.51
1744761605,0.535
1744848006,0.545
1744934404,0.565
1745020806,0.565
1745107206,0.575
1745193606,0.56
1745280006,0.575
1745366407,0.535
1745452806,0.52
1745539206,0.535
1745625606,0.555
1745712005,0.54
1745798405,0.545
1745884805,0.575
1745971206,0.645
1746057606,0.635
1746144006,0.655
1746230406,0.625
1746316805,0.58
1746403205,0.575
1746489606,0.575
1746576005,0.53
1746662406,0.505
1746748807,0.515
1746835206,0.505
1746921606,0.515
1747008006,0.495
1747094406,0.395
1747180807,0.395
1747267207,0.395
1747353606,0.365
1747440007,0.365
1747526406,0.37
1747612806,0.37
1747699206,0.375
1747785606,0.395
1747872007,0.39
1747958407,0.395
1748044807,0.405
1748131206,0.385
1748217607,0.385
1748304006,0.385
1748390406,0.375
1748476807,0.385
1748563207,0.37
1748649607,0.33
1748736007,0.335
1748822406,0.325
1748908807,0.295
1748995206,0.285
1749081606,0.275
1749168006,0.295
1749254407,0.265
1749340807,0.265
1749427207,0.26
1749513606,0.255
1749600007,0.245
1749686407,0.225
1749772807,0.235
1749859208,0.265
1749945608,0.275
1750032007,0.305
1750118408,0.245
1750204808,0.285
1750291207,0.275
1750377608,0.275
1750464008,0.285
1750550406,0.285
1750636807,0.315
1750723207,0.27
1750809607,0.26
1750896008,0.265
1750982407,0.295
1751068807,0.3
1751155208,0.265
1751241607,0.265
1751328008,0.265
1751414407,0.24
1751500808,0.26
1751587208,0.215
1751673608,0.215
1751760007,0.225
1751846407,0.215
1751932808,0.225
1752019207,0.195
1752105608,0.195
1752192008,0.185
1752278409,0.195
1752364808,0.195
1752451207,0.2
1752537608,0.205
1752624008,0.215
1752710408,0.205
1752796808,0.195
1752883209,0.175
1752969608,0.175
1753056007,0.175
1753142409,0.175
1753228809,0.195
1753315209,0.185
1753401609,0.175
1753488009,0.175
1753574410,0.165
1753660809,0.17
1753747210,0.165
1753833610,0.165
1753920008,0.125
1754006409,0.115
1754092809,0.165
1754179208,0.145
1754265607,0.15
1754352008,0.145
1754438409,0.145
1754524803,0.145
1754611204,0.135
1754697602,0.125
1754784007,0.125
1754870413,0.125
1754956805,0.12
1755043204,0.12
1755129607,0.115
1755216010,0.115
1755302404,0.125
1755388814,0.125
1755475207,0.135
1755561616,0.13
1755648007,0.125
1755734408,0.125
1755820809,0.11
1755907211,0.1
1755993606,0.11
1756080006,0.115
1756166409,0.11
1756252808,0.105
1756339210,0.1
1756425606,0.105
1756512012,0.105
1756598411,0.09
1756684810,0.08
1756771209,0.08
1756857608,0.085
1756944014,0.085
1757030410,0.075
1757116808,0.075
1757203214,0.085
1757289609,0.08
1757333464,0.08
